"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"10-Jan-2018","       13.8475","       14.2275","       12.5175","       14.0350","       13.8475","        0.1900","   1.35"
"11-Jan-2018","       14.0350","       14.2775","       12.9850","       14.0125","       14.0350","       -0.0200","  -0.16"
"12-Jan-2018","       14.0125","       14.5525","       11.9200","       13.7325","       14.0125","       -0.2800","  -2.00"
"15-Jan-2018","       13.7325","       14.4750","       11.8125","       14.3050","       13.7325","        0.5700","   4.17"
"16-Jan-2018","       14.3050","       14.5850","       12.3475","       14.0850","       14.3050","       -0.2200","  -1.54"
"17-Jan-2018","       14.0850","       14.4450","       10.3450","       13.8600","       14.0850","       -0.2300","  -1.60"
"18-Jan-2018","       13.8600","       14.2200","       11.6550","       13.9600","       13.8600","        0.1000","   0.72"
"19-Jan-2018","       13.9600","       14.1950","       10.7500","       13.9825","       13.9600","        0.0200","   0.16"
"22-Jan-2018","       13.9825","       15.5900","       12.0675","       15.3925","       13.9825","        1.4100","  10.08"
"23-Jan-2018","       15.3925","       16.2975","       14.1100","       16.2250","       15.3925","        0.8300","   5.41"
"24-Jan-2018","       16.2250","       18.4950","       14.6400","       18.0400","       16.2250","        1.8200","  11.19"
"25-Jan-2018","       18.0400","       18.2350","       17.0350","       17.5075","       18.0400","       -0.5300","  -2.95"
"29-Jan-2018","       17.5075","       18.4850","       16.3625","       17.8875","       17.5075","        0.3800","   2.17"
"30-Jan-2018","       17.8875","       18.0050","       16.1500","       16.4150","       17.8875","       -1.4700","  -8.23"
"31-Jan-2018","       16.4150","       16.4150","       14.2875","       15.9300","       16.4150","       -0.4900","  -2.95"
"01-Feb-2018","       15.9300","       16.7725","       13.9025","       14.1075","       15.9300","       -1.8200"," -11.44"
"02-Feb-2018","       14.1075","       15.4900","       11.4975","       15.2500","       14.1075","        1.1400","   8.10"
"05-Feb-2018","       15.2500","       18.3350","       15.0800","       16.0525","       15.2500","        0.8000","   5.26"
"06-Feb-2018","       16.0525","       23.1575","       16.0525","       20.0150","       16.0525","        3.9600","  24.68"
"07-Feb-2018","       20.0150","       20.0150","       16.7975","       19.4650","       20.0150","       -0.5500","  -2.75"
"08-Feb-2018","       19.4650","       24.0350","       15.2625","       17.7725","       19.4650","       -1.6900","  -8.70"
"09-Feb-2018","       17.7725","       20.4225","       15.1500","       19.2300","       17.7725","        1.4600","   8.20"
"12-Feb-2018","       19.2300","       19.2300","       16.5675","       17.8825","       19.2300","0.0000","0.00"
"14-Feb-2018","       17.8825","       17.8825","       15.5200","       17.1850","       17.8825","0.0000","0.00"
"15-Feb-2018","       17.1850","       17.1850","       14.0850","       16.3150","       17.1850","       -0.8700","  -5.06"
"16-Feb-2018","       16.3150","       16.9725","       12.5700","       16.3775","       16.3150","        0.0600","   0.38"
"19-Feb-2018","       16.3775","       18.0350","       13.9550","       16.6675","       16.3775","        0.2900","   1.77"
"20-Feb-2018","       16.6675","       17.5375","       16.3275","       16.8675","       16.6675","        0.2000","   1.20"
"21-Feb-2018","       16.8675","       16.8700","       15.7250","       15.9200","       16.8675","       -0.9500","  -5.62"
"22-Feb-2018","       15.9200","       16.4575","       14.5025","       14.8325","       15.9200","0.0000","0.00"
"23-Feb-2018","       14.8325","       14.8325","       13.5350","       14.2025","       14.8325","       -0.6300","  -4.25"
"26-Feb-2018","       14.2025","       14.3250","       13.5300","       13.6950","       14.2025","       -0.5100","  -3.57"
"27-Feb-2018","       13.6950","       14.4225","       12.4475","       13.9225","       13.6950","0.0000","0.00"
"28-Feb-2018","       13.9225","       14.4000","       12.5250","       13.8050","       13.9225","0.0000","0.00"
"01-Mar-2018","       13.8050","       14.2525","       12.4050","       14.0725","       13.8050","0.0000","0.00"
"05-Mar-2018","       14.0725","       15.9900","       12.2325","       15.3950","       14.0725","        1.3200","   9.40"
"06-Mar-2018","       15.3950","       16.4475","       13.1600","       16.2450","       15.3950","0.0000","0.00"
"07-Mar-2018","       16.2450","       16.4600","       13.4475","       15.7000","       16.2450","       -0.5500","  -3.35"
"08-Mar-2018","       15.7000","       15.7000","       12.4850","       14.5850","       15.7000","       -1.1200","  -7.10"
"09-Mar-2018","       14.5850","       14.7625","       12.9050","       14.5250","       14.5850","       -0.0600","  -0.41"
"12-Mar-2018","       14.5250","       14.6625","       12.0100","       14.4925","       14.5250","0.0000","0.00"
"13-Mar-2018","       14.4925","       14.6200","       12.3875","       14.4625","       14.4925","       -0.0300","  -0.21"
"14-Mar-2018","       14.4625","       14.9525","       11.7350","       14.3625","       14.4625","       -0.1000","  -0.69"
"15-Mar-2018","       14.3625","       14.6550","       11.2950","       14.3300","       14.3625","       -0.0300","  -0.23"
"16-Mar-2018","       14.3300","       15.6225","       11.6325","       15.2200","       14.3300","        0.8900","   6.21"
"19-Mar-2018","       15.2200","       16.0100","       13.1425","       15.8200","       15.2200","        0.6000","   3.94"
"20-Mar-2018","       15.8200","       16.1250","       15.1700","       15.6075","       15.8200","       -0.2100","  -1.34"
"21-Mar-2018","       15.6075","       15.6075","       12.3925","       15.1075","       15.6075","       -0.5000","  -3.20"
"22-Mar-2018","       15.1075","       15.3625","       11.9900","       15.2475","       15.1075","0.0000","0.00"
"23-Mar-2018","       15.2475","       16.3800","       15.2475","       15.5450","       15.2475","        0.3000","   1.95"
"26-Mar-2018","       15.5450","       16.3825","       14.8575","       15.1950","       15.5450","0.0000","0.00"
"27-Mar-2018","       15.1950","       16.1075","       14.4950","       15.5500","       15.1950","0.0000","0.00"
"28-Mar-2018","       15.5500","       15.9700","       14.8175","       15.7575","       15.5500","        0.2100","   1.33"
